© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Workspace	My Projects
Project	igor_misc
Analysis	ndr_vs_wt_all - 2020-11-20 05:39 PM
Date	Fri Nov 20 08:39:11 PST 2020
Analysis ID	22292172

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse) AND
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
BRD1	other	-0.015	1	 	biased	1.732	8.10E-04	1.05E-02	BRD1	GATA1,LMO2,TAL1	3 (1)	1	 	 	 	 	 	 	 	 	 	
HP1BP3	other	-0.062	1	 	 	-1.732	8.10E-04	1.18E-02	HP1BP3	IGF1,IGFBP1,IGFBP2	3 (1)	1	 	 	 	 	 	 	 	 	 	
KDM6A	enzyme	0.023	1	 	biased	0.333	9.33E-04	1.75E-02	KDM6A	ANKS4B,CDHR2,CYP3A7,IGFALS,IRAK3,RNF186,TM4SF4,TTR,UGT2B10	9 (1)	1	 	 	 	PROC,VTN	 	 	 	 	 	
ATF7	transcription regulator	-0.054	1	Activated	 	2.000	9.70E-04	6.30E-03	ATF7	DUSP1,DUSP10,DUSP5,DUSP8	4 (1)	1	NFE2L2	 	 	DUSP1	 	 	 	 	 	
F2R	G-protein coupled receptor	0.417	1	Activated	biased	2.000	9.70E-04	3.04E-02	F2R	Ccl2,EGR1,FOS,VWF	4 (1)	1	GATA2	APOE,Nr1h	 	ERK1/2,VWF	ABCA1	 	 	 	 	
FRS2	other	-0.038	1	 	 	0.000	9.70E-04	1.68E-02	FRS2	ITGA6,KRT14,Ly6a (includes others),PROM1	4 (1)	1	KLB	 	 	CD44	 	 	 	 	 	
NPC1L1	transporter	0.901	1	Inhibited	 	-2.000	9.70E-04	3.27E-02	NPC1L1	ABCA1,HMGCR,HMGCS1,SREBF2	4 (1)	1	 	PPARA,PPARD	 	ABCA1	SREBF2	 	 	 	 	
Ncoa6	transcription regulator	0.021	1	 	 	1.000	9.70E-04	2.71E-02	Ncoa6	AREG,FABP4,FOS,SERPINE1	4 (1)	1	 	 	 	 	AREG,TGFA	 	 	 	 	
PPM1B	phosphatase	-0.199	1	Activated	 	2.000	9.70E-04	2.30E-02	PPM1B	CCL3L3,CEBPD,HBEGF,MARCO	4 (1)	1	 	 	 	 	 	 	 	 	 	
PSMB10	peptidase	0.106	1	 	 	1.000	9.70E-04	2.38E-02	PSMB10	NFKB2,NFKBIA,NOS2,TNFAIP3	4 (1)	1	IFNG	 	 	 	IL1A	 	 	 	 	
RGCC	other	1.375	1	 	biased	1.000	9.70E-04	2.16E-02	RGCC	FASN,IL1B,NOS2,SREBF1	4 (1)	1	SQSTM1	CISH,NEK7,SOCS6	 	IL1B	 	 	 	 	 	
RGMB	other	0.044	1	Inhibited	biased	-2.000	9.70E-04	2.05E-02	RGMB	CXCL2,CXCL3,LCN2,MLKL	4 (1)	1	 	 	 	 	CXCL2	 	 	 	 	
SERCA	group	 	1	Inhibited	biased	-2.000	9.70E-04	3.02E-02	SERCA	BTG2,EGR1,JUN,ZFP36	4 (1)	1	 	 	 	 	 	 	 	 	 	
TNC	other	-0.058	1	 	 	1.000	9.70E-04	4.10E-02	TNC	Ccl2,CCL20,EGFR,MBP	4 (1)	1	MRTFA,TLR3,Vegf	Alpha catenin	 	 	 	 	 	 	 	
CHD4	enzyme	0.012	1	 	 	-0.905	1.02E-03	4.30E-02	CHD4	AS3MT,CASQ1,CLCF1,DUOX2,FAS,HMOX1,JUN,KLF1,NGFR,PRPH,RORC	11 (1)	1	IL4	 	 	 	ID2	 	 	 	 	
BACH1	transcription regulator	0.035	1	 	biased	-0.447	1.18E-03	4.95E-02	BACH1	CEBPB,DUSP1,HMOX1,IGF1,SLC40A1	5 (1)	1	 	 	 	 	CEBPB,DUSP1,PPARG	 	 	 	 	
BET	group	 	1	Activated	biased	2.236	1.18E-03	4.44E-02	BET	DMTN,KLF1,NFE2,SLC4A1,TAL1	5 (1)	1	 	 	 	SLC4A1	 	 	 	 	 	
TGIF1	transcription regulator	0.662	1	Activated	 	2.236	1.18E-03	3.38E-02	TGIF1	CXCL2,CXCL3,IL1B,RARB,SOAT2	5 (1)	1	 	 	 	CXCL2,IL1B	 	 	 	 	 	
HOXD10	transcription regulator	 	1	 	 	0.905	1.91E-03	1.81E-02	HOXD10	AGXT2,APOF,DAPP1,FCRLA,GCNT1,Gm12854/S100a11,HBEGF,MAOB,PDZK1IP1,RSAD2,SELENON	11 (1)	1	 	 	 	CD44,TICAM1	CCL22	 	 	 	 	
AFP	transporter	2.284	1	 	biased	1.000	2.10E-03	3.41E-02	AFP	EGR1,EGR2,FOS,TSC22D1	4 (1)	1	 	ZBTB20	 	 	 	 	 	 	 	
ELK1	transcription regulator	-0.003	1	Activated	 	2.000	2.10E-03	4.44E-02	ELK1	EGR1,EGR2,FOS,MYLK	4 (1)	1	DGKI,Il3,MAPK3,P38 MAPK,VIM	BCL3	 	 	 	 	 	 	 	
MAFF	transcription regulator	1.703	1	 	biased	1.000	2.10E-03	4.24E-02	MAFF	ABCC3,GCLC,GSTP1,TXNRD1	4 (1)	1	NR1I3,TICAM1	 	 	ABCC4,TXNRD1	 	 	 	 	 	
NLRC4	other	0.112	1	Activated	biased	2.000	2.10E-03	3.03E-02	NLRC4	CXCL2,CXCL3,IL1B,NOS2	4 (1)	1	PRKCD	 	 	CASP1,CXCL2,IL1B	 	 	 	 	 	
P2RY4	G-protein coupled receptor	-1.617	1	Activated	biased	2.000	2.10E-03	4.46E-02	P2RY4	ICAM1,MMP8,SELE,TIMP1	4 (1)	1	Brd4	 	 	MMP8	 	 	 	 	 	
CCL22	cytokine	0.035	1	 	biased	-1.732	3.01E-03	3.19E-02	CCL22	CCL3L3,CXCL2,CXCL3	3 (1)	1	CD38,IFNG,IL13,IL4,NCOA2	HOXD10,IL10RA,INSIG1,PPARG,STAT6,ZMPSTE24	 	 	CXCL2	 	 	 	 	
EN1	transcription regulator	 	1	 	 	1.732	3.01E-03	2.70E-02	EN1	ALDOC,NGFR,SNCA	3 (1)	1	 	 	 	 	 	 	 	 	 	
EN2	transcription regulator	 	1	 	 	1.732	3.01E-03	2.70E-02	EN2	ALDOC,NGFR,SNCA	3 (1)	1	 	 	 	 	 	 	 	 	 	
ERCC4	enzyme	-0.025	1	 	biased	-1.732	3.01E-03	4.47E-02	ERCC4	GHR,IGF1,PRLR	3 (1)	1	 	 	 	 	 	 	 	 	 	
F2RL3	G-protein coupled receptor	0.431	1	 	biased	1.732	3.01E-03	4.43E-02	F2RL3	EGR1,FOS,SELP	3 (1)	1	 	 	 	ERK1/2	 	 	 	 	 	
FOXI1	transcription regulator	 	1	 	biased	0.577	3.01E-03	3.60E-03	FOXI1	SLC26A4,SLC4A1,SLC4A9	3 (1)	1	 	 	 	SLC4A1	 	 	 	 	 	
MCOLN2	ion channel	-0.132	1	 	biased	1.732	3.01E-03	3.53E-02	MCOLN2	Ccl2,CCL3L3,CXCL3	3 (1)	1	NOD2,RIPK2	 	 	CCL5	 	 	 	 	 	
MOGAT1	enzyme	-0.065	1	 	biased	-1.732	3.01E-03	4.88E-02	MOGAT1	Ccl2,CXCL10,TIMP1	3 (1)	1	CD44,PPARG	AGPAT2	 	 	 	 	 	 	 	
RAD51C	enzyme	-0.021	1	 	biased	-0.577	3.01E-03	4.94E-02	RAD51C	ESR1,KRT18,KRT8	3 (1)	1	 	 	 	 	 	 	 	 	 	
SLCO1B3	transporter	-0.397	1	 	 	0.577	3.01E-03	1.51E-02	SLCO1B3	SLC22A7,Slco1a4,SLCO2B1	3 (1)	1	HNF1A,NFE2L2,NR1I3	 	 	 	 	 	 	 	 	
STK38	kinase	-0.109	1	 	biased	1.732	3.01E-03	3.75E-02	STK38	CCL20,CXCL2,CXCL3	3 (1)	1	 	 	 	CXCL2	 	 	 	 	 	
ZFPM1	transcription regulator	0.269	1	 	biased	-1.732	3.01E-03	4.73E-02	ZFPM1	CEBPB,MPO,SPI1	3 (1)	1	GATA2,HIPK2	 	 	 	CEBPB	 	 	 	 	
CSK	kinase	0.029	1	 	 	1.000	3.88E-03	3.56E-02	CSK	FCER1G,FGR,IL1B,ITGB2	4 (1)	1	 	 	 	ERK1/2,IL1B,P38 MAPK	 	 	 	 	 	
GPR84	G-protein coupled receptor	0.809	1	Activated	biased	2.000	3.88E-03	4.02E-02	GPR84	Ccl2,CCL3L3,IL1B,NOS2	4 (1)	1	FCGR2A,FCGR2B,NOD2,RIPK2	 	 	IL12B,IL1B	 	 	 	 	 	
PTAFR	G-protein coupled receptor	0.440	1	 	biased	-1.732	7.01E-03	2.65E-02	PTAFR	CCL3L3,CXCL2,IL1B	3 (1)	1	 	 	 	 	CXCL2,IL1B	 	 	 	 	
EBF2	transcription regulator	-0.031	1	 	biased	0.816	8.04E-03	4.47E-02	EBF2	ACY3,ADAMTS15,CIDEA,LGI2,NTM,SHISA3	6 (1)	1	 	 	 	UCP1	 	 	 	 	 	
ADRM1	other	0.056	1	 	 	0.000	8.70E-03	4.80E-02	ADRM1	NFKBIA,NOS2	2 (1)	1	 	 	 	 	 	 	 	 	 	
DAB1	other	2.735	1	 	biased	0.000	8.70E-03	4.47E-02	DAB1	ABCA1,FABP7	2 (1)	1	TP73	LRP8,Nr1h,SPARC	 	ABCA1	 	 	 	 	 	
Gpcr	group	 	1	 	biased	1.414	8.70E-03	4.81E-02	Gpcr	FOS,JUN	2 (1)	1	 	 	 	IKBKB	 	 	 	 	 	
HNRNPD	transcription regulator	-0.005	1	 	 	-1.414	8.70E-03	4.77E-02	HNRNPD	LDLR,TERT	2 (1)	1	 	 	 	 	LDLR	 	 	 	 	
HSPA1A/HSPA1B	enzyme	0.105	1	 	biased	1.414	8.70E-03	4.59E-02	HSPA1A/HSPA1B	FOS,Hspa1b	2 (1)	1	IFNG	PSMB11	 	 	 	 	 	 	 	
IL17RC	transmembrane receptor	0.125	1	 	biased	1.414	8.70E-03	1.84E-02	IL17RC	PLET1,STEAP4	2 (1)	1	 	RNF31	 	 	 	 	 	 	 	
MSK1/2	group	 	1	 	biased	1.414	8.70E-03	4.49E-02	MSK1/2	DUSP1,FOS	2 (1)	1	 	 	 	DUSP1	 	 	 	 	 	
NAGLU	enzyme	0.010	1	 	biased	0.000	8.70E-03	4.82E-02	NAGLU	LYZ,MAPT	2 (1)	1	CHUK,IKBKB,IKBKG	 	 	 	 	 	 	 	 	
RANBP10	other	-0.099	1	 	biased	1.414	8.70E-03	4.41E-02	RANBP10	CD63,SELP	2 (1)	1	 	 	 	 	 	 	 	 	 	
VPS33B	transporter	-0.025	1	 	biased	1.414	8.70E-03	4.42E-02	VPS33B	SELP,VWF	2 (1)	1	 	 	 	VWF	 	 	 	 	 	
XPO1	transporter	0.002	1	 	biased	-1.414	8.70E-03	4.83E-02	XPO1	ICAM1,NOS2	2 (1)	1	 	 	 	 	 	 	 	 	 	

Diseases and Bio Functions for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Inflammatory Response	inflammation	Inflammation of absolute anatomical region	3.39E-52	 	-0.967	 	0.100	NSDHL,NLRP12,MMP2,TNFRSF1A,FDPS,RASGRP4,SELL,SLC22A4,JAK3,ALDOA,TNFRSF9,ARRB2,SREBF2,FOS,LILRB4,LSS,HP,HCAR2,NFKBIZ,SCP2,S1PR1,PON1,HBEGF,IFI30,MME,DAPK1,LAPTM5,TNFRSF21,SERPINA3,AMPD3,MAS1,ST3GAL3,LYZ,AHR,CLU,Serpina3g (includes others),CXCR2,ADM,TNFRSF12A,BAX,IFI16,FAS,MVD,APRT,SERPINB1,ITGAM,APOA4,WNT5A,LGALS1,HMGCR,LEPR,CCL3L3,CIDEC,ELF3,TREM2,CX3CL1,TPI1,CD177,CD68,ARHGDIA,DCN,SPRR1A,LAMB2,GSDMD,TRPM4,S100A8,CD79B,EGR1,PLAT,MSMO1,Ms4a4c (includes others),LTB4R,RIPK3,CEBPB,PROCR,RORC,P2RY6,Ccl2,Cd52,TK1,Mt1,DHRS9,CD300LF,PRKAG2,CARD9,Mug1/Mug2,IL1RN,SLC33A1,RELB,CTSD,ESR1,DHCR7,INSIG1,PDCD4,EGFR,CXCL10,FPR2,ACKR4,HAVCR2,PMVK,SELP,CYBB,FOXO3,MGLL,CLEC7A,F2RL1,TNFAIP8L2,ABCB4,BCL3,LITAF,IL15RA,LAMA5,GPX4,MAPT,IL18BP,MZB1,EHD4,CASP4,RIDA,CLCN5,SPN,SGPL1,CSF2RB,ANXA5,ICOSLG/LOC102723996,ABCA1,GPNMB,LECT2,CLEC4A,Irgm1,DHCR24,TNIP1,Ly6a (includes others),ICAM1,ADA,KRT8,CX3CR1,FCGR1A,NCF1,PPARA,VSIR,FCER1G,PKM,ITGB2,TRIM58,BIRC3,ATF3,ARHGDIB,ALOX5,TRPM2,STING1,HDC,TYROBP,GHR,MS4A6A,F11,ZFP36,Igtp,FOXA2,Saa3,TLR2,LRG1,NCF4,SOX5,Cd24a,LCN2,IGF1,NFKB2,RNF186,BATF,MYLK,STAT6,Slfn1,SOAT2,STAT5B,CD53,Retnlg,JUNB,JUN,ENTPD1,MAPKAPK3,CXCL12,CLEC4E,CCR1,SOCS3,KLKB1,IL6R,LBP,CAMP,WT1,KLF4,IRAK3,VIM,TKT,AREG,AKAP12,SQLE,DUSP1,STAT5A,P2RY2,IGFBP3,CEBPE,NT5E,STEAP4,CCR2,STAT4,MBP,STIM2,NR4A1,CLEC4D,PLAUR,S100A9,BMF,GFAP,HLA-A,SLC2A4,TM7SF2,CYP51A1,RRAS,DUSP10,Ccl6,SALL4,NQO2,CCL20,SEL1L,GADD45B,NFKBIA,CMKLR1,IDI1,MVK,PLS1,C5AR1,MAP3K8,RGCC,VWF,NGF,CD86,MPEG1,Ctla2a/Ctla2b,IL18R1,BACH2,SLC2A6,EHD3,IL1B,CD14,CLEC5A,LIF,DUOXA2,SPI1,PIM1,ABCG2,FCGR2A,VNN1,CDCP1,SLC2A9,MMP8,SERPINE1,CXCL3,NLRP6,P2RX3,PGLYRP2,TNFAIP8,IKBKE,ACOD1,ANXA7,MMP12,UPP1,ACE,SELE,PIK3R1,OLFM4,SDC1,LDLR,HSD17B7,TFF3,TREM1,IL17RB,TRAF4,MIF,PNKD,HMGCS1,MPO,TNFSF14,MFGE8,FDFT1,CXCL2,HMOX1,IGFBP1,GSTZ1,MMUT,NOS2,NGFR,TNFAIP3,NLRP3,GBP6,EGR2,LGALS3,TIMP1,HPX	299	
Inflammatory Response, Organismal Injury and Abnormalities	inflammation	Inflammation of organ	7.82E-52	 	-1.439	 	-0.372	NSDHL,NLRP12,MMP2,TNFRSF1A,FDPS,RASGRP4,SELL,SLC22A4,JAK3,ALDOA,TNFRSF9,ARRB2,SREBF2,FOS,LILRB4,LSS,HP,HCAR2,NFKBIZ,SCP2,S1PR1,PON1,HBEGF,IFI30,MME,LAPTM5,TNFRSF21,SERPINA3,AMPD3,MAS1,ST3GAL3,LYZ,AHR,CLU,Serpina3g (includes others),CXCR2,ADM,TNFRSF12A,BAX,IFI16,FAS,MVD,APRT,SERPINB1,ITGAM,APOA4,WNT5A,LGALS1,HMGCR,PGLYRP1,IFNLR1,LEPR,CCL3L3,CIDEC,ELF3,TREM2,CX3CL1,TPI1,CD177,CD68,ARHGDIA,DCN,SPRR1A,LAMB2,GSDMD,TRPM4,S100A8,CD79B,EGR1,PLAT,MSMO1,Ms4a4c (includes others),LTB4R,RIPK3,CEBPB,PROCR,RORC,Ccl2,Cd52,TK1,Mt1,DHRS9,CD300LF,PRKAG2,CARD9,Mug1/Mug2,IL1RN,SLC33A1,RELB,CTSD,PTGIR,ESR1,DHCR7,INSIG1,PDCD4,EGFR,CXCL10,FPR2,ACKR4,HAVCR2,OSMR,PMVK,SOD3,SELP,CYBB,FOXO3,MGLL,CLEC7A,F2RL1,TNFAIP8L2,ABCB4,BCL3,IL15RA,LAMA5,GPX4,MAPT,IL18BP,MZB1,EHD4,CASP4,RIDA,CLCN5,SPN,CD5L,SGPL1,CSF2RB,ANXA5,SLPI,ICOSLG/LOC102723996,ABCA1,GPNMB,LECT2,CLEC4A,Irgm1,DHCR24,TNIP1,Ly6a (includes others),ICAM1,ADA,KRT8,CX3CR1,FCGR1A,NCF1,PPARA,VSIR,FCER1G,PKM,ITGB2,TRIM58,BIRC3,ATF3,ARHGDIB,ALOX5,TRPM2,STING1,HDC,TYROBP,GHR,MS4A6A,F11,ZFP36,Igtp,FOXA2,Saa3,TLR2,LRG1,NCF4,SOX5,Cd24a,LCN2,IGF1,NFKB2,RNF186,BATF,MYLK,STAT6,Slfn1,SOAT2,STAT5B,CD53,Retnlg,JUNB,JUN,ENTPD1,MAPKAPK3,CXCL12,CLEC4E,CCR1,SOCS3,KLKB1,IL6R,LBP,CAMP,WT1,KLF4,IRAK3,VIM,TKT,AREG,AKAP12,SQLE,DUSP1,STAT5A,P2RY2,IGFBP3,CEBPE,NT5E,STEAP4,CCR2,STAT4,MBP,STIM2,NR4A1,CLEC4D,PLAUR,S100A9,BMF,GFAP,HLA-A,SLC2A4,TM7SF2,CYP51A1,RRAS,DUSP10,Ccl6,SALL4,NQO2,CCL20,SEL1L,GADD45B,NFKBIA,CMKLR1,IDI1,MVK,PLS1,C5AR1,MAP3K8,RGCC,VWF,NGF,CD86,MPEG1,Ctla2a/Ctla2b,IL18R1,BACH2,SLC2A6,EHD3,IL1B,CD14,CLEC5A,LIF,DUOXA2,SPI1,PIM1,ABCG2,FCGR2A,VNN1,CDCP1,SLC2A9,MMP8,SERPINE1,CXCL3,NLRP6,P2RX3,PGLYRP2,TNFAIP8,IKBKE,ACOD1,ANXA7,MMP12,UPP1,ACE,SELE,PIK3R1,OLFM4,SDC1,IDO2,LDLR,HSD17B7,TFF3,TREM1,CTSE,IL17RB,TRAF4,MIF,PNKD,HMGCS1,MPO,TNFSF14,MFGE8,FDFT1,CXCL2,HMOX1,IGFBP1,GSTZ1,MMUT,NOS2,NGFR,TNFAIP3,NLRP3,GBP6,EGR2,LGALS3,TIMP1,HPX	305	
Inflammatory Response	inflammation	Inflammation of body cavity	1.27E-41	 	-1.016	 	0.260	NLRP12,MMP2,TNFRSF1A,RASGRP4,SELL,SLC22A4,JAK3,ALDOA,TNFRSF9,ARRB2,FOS,LILRB4,HP,HCAR2,NFKBIZ,SCP2,S1PR1,PON1,HBEGF,MME,LAPTM5,SERPINA3,AMPD3,ST3GAL3,LYZ,AHR,CLU,Serpina3g (includes others),CXCR2,ADM,TNFRSF12A,BAX,IFI16,FAS,APRT,SERPINB1,ITGAM,APOA4,LGALS1,WNT5A,LEPR,CCL3L3,CIDEC,ELF3,TREM2,CX3CL1,TPI1,CD177,ARHGDIA,DCN,SPRR1A,LAMB2,S100A8,CD79B,EGR1,Ms4a4c (includes others),LTB4R,RIPK3,CEBPB,RORC,Ccl2,Cd52,TK1,Mt1,DHRS9,CD300LF,CARD9,PRKAG2,Mug1/Mug2,IL1RN,SLC33A1,RELB,CTSD,ESR1,INSIG1,EGFR,CXCL10,FPR2,SELP,CYBB,FOXO3,CLEC7A,F2RL1,TNFAIP8L2,ABCB4,IL15RA,MZB1,CASP4,RIDA,CLCN5,CSF2RB,ANXA5,ICOSLG/LOC102723996,ABCA1,GPNMB,LECT2,TNIP1,Ly6a (includes others),ICAM1,ADA,KRT8,CX3CR1,FCGR1A,NCF1,PPARA,VSIR,PKM,ITGB2,TRIM58,BIRC3,ATF3,ARHGDIB,ALOX5,STING1,TYROBP,GHR,MS4A6A,F11,ZFP36,FOXA2,Igtp,Saa3,TLR2,LRG1,NCF4,Cd24a,LCN2,IGF1,NFKB2,RNF186,BATF,STAT6,Slfn1,STAT5B,CD53,Retnlg,JUNB,JUN,ENTPD1,MAPKAPK3,CXCL12,CLEC4E,CCR1,SOCS3,IL6R,LBP,CAMP,WT1,IRAK3,TKT,AREG,AKAP12,DUSP1,STAT5A,P2RY2,IGFBP3,CEBPE,NT5E,STEAP4,CCR2,STAT4,CLEC4D,PLAUR,S100A9,BMF,HLA-A,SLC2A4,DUSP10,Ccl6,NQO2,SEL1L,GADD45B,NFKBIA,CMKLR1,C5AR1,PLS1,MAP3K8,CD86,MPEG1,IL18R1,BACH2,SLC2A6,IL1B,CD14,CLEC5A,LIF,DUOXA2,SPI1,PIM1,ABCG2,FCGR2A,VNN1,SLC2A9,MMP8,SERPINE1,CXCL3,NLRP6,P2RX3,PGLYRP2,TNFAIP8,IKBKE,ACOD1,ANXA7,MMP12,ACE,SELE,PIK3R1,OLFM4,SDC1,LDLR,TFF3,TREM1,IL17RB,TRAF4,MIF,PNKD,TNFSF14,MFGE8,CXCL2,HMOX1,IGFBP1,GSTZ1,NOS2,MMUT,TNFAIP3,NLRP3,GBP6,LGALS3,TIMP1,HPX	230	
Cellular Movement, Immune Cell Trafficking	migration	Leukocyte migration	1.73E-36	Increased	7.277	 	6.010	NLRP12,MMP2,TNFRSF1A,RASGRP4,NEDD9,SELL,JAK3,TNFRSF9,ARRB2,FOS,HSD3B7,HP,HAO1,CD9,HCAR2,NFKBIZ,S1PR1,HBEGF,LILRB3,TNFRSF21,MAS1,CTSG,LYZ,AHR,PRTN3,GSN,CXCR2,MASP2,ELANE,FAS,PLTP,CD207,SERPINB1,ITGAM,LGALS1,HPSE,PGLYRP1,LEPR,CCL3L3,TREM2,CX3CL1,GPSM3,PER1,DCN,LPAR3,GSDMD,TRPM4,S100A8,Ccl7,CES1,GGT5,LTB4R,RIPK3,PROCR,RORC,Ccl2,CD300LF,CSF3R,CARD9,SAA1,IL1RN,RELB,FUT8,ANO6,PTGIR,ESR1,EGFR,FABP4,CXCL10,FPR2,OLR1,SELP,SELPLG,PPP1R15A,MYO9B,CYBB,CLEC7A,F2RL1,TNFAIP8L2,ABCB4,MICOS10-NBL1/NBL1,BCL3,F13A1,LITAF,IL15RA,LAMA5,SPN,CD5L,SGPL1,CSF2RB,MYO1F,PDK4,TNFRSF10A,Irgm1,CYP1A2,RGS1,TNIP1,Ly6a (includes others),ICAM1,SERPING1,ADA,LOX,CX3CR1,NCF1,PPARA,PIK3R5,FGR,FCER1G,ITGB2,PLA2G7,ALOX5,TRPM2,STING1,HDC,TYROBP,FOXA2,FERMT3,TLR2,CYP1B1,NCF4,TREM3,LCN2,SAMSN1,NFKB2,BATF,MYLK,STAT6,STAT5B,Retnlg,JUN,CXCL12,CLEC4E,Orm1 (includes others),CCR1,SOCS3,IL6R,FASN,LBP,CAMP,P2RY4,S100A4,AQP3,RGS16,LCP1,CHI3L1,DUSP1,GCNT1,Pde4d,STAT5A,P2RY2,APBB1IP,IGFBP3,CEBPE,TREML2,MARCO,NT5E,CCR2,SREBF1,KLF6,PAK1,NR4A1,PLAUR,S100A9,GFAP,HLA-A,MAPK13,Ccl6,ALOX5AP,NQO2,CCL20,NFKBIA,CMKLR1,CD63,C5AR1,ADAMTS13,MAP3K8,RGCC,VWF,CD86,BACH2,IL1B,SPON2,FLNA,CD14,CLEC5A,ANXA2,SPI1,CYP26B1,FCGR2A,ANXA1,SLFN12L,MMP8,SERPINE1,CXCL3,PGLYRP2,TNFAIP8,IKBKE,FLOT1,HCK,MMP12,GNA12,SELE,PIK3R1,RAC2,OLFM4,MYO1G,SDC1,ARHGEF5,CAPG,LDLR,TREM1,CTSE,IL17RB,MIF,GDF15,ADAM8,MPO,TNFSF14,ITGA6,CXCL2,GATA1,HMOX1,CCRL2,NOS2,TNFAIP3,NLRP3,SERPINA1,MCAM,LGALS3,EGR2,TIMP1,SIGLEC9	232	
Inflammatory Response	inflammatory response	Inflammatory response	6.31E-34	Increased	3.787	 	3.109	ADA,CX3CR1,NLRP12,GGT1,MMP2,TNFRSF1A,FCGR1A,RASGRP4,NEDD9,NCF1,SELL,PPARA,PIK3R5,VSIR,FGR,FCER1G,ITGB2,PLA2G7,ATF3,ALOX5,LILRB4,TRPM2,SNCA,STING1,HSD3B7,HP,TYROBP,ZFP36,CD9,HCAR2,NFKBIZ,TNFRSF11A,SLC11A1,TLR2,S1PR1,TREM3,LILRB3,SBNO2,MAS1,LCN2,IGF1,NFKB2,AHR,PRTN3,GSN,IL18RAP,CXCR2,NUPR1,STAT6,ELANE,STAT5B,MAOB,Retnlg,SERPINB1,CXCL12,ITGAM,Orm1 (includes others),CCR1,HPSE,SOCS3,ZBTB16,PGLYRP1,IL6R,LBP,CAMP,CCL3L3,TREM2,S100A4,IRAK3,CX3CL1,GPSM3,GCNT1,Pde4d,IER3,STAT5A,CEBPE,TREML2,MARCO,NT5E,CCR2,TRPM4,S100A8,Ccl7,STAT4,NR4A1,PLAUR,S100A9,EGR1,PLAT,DUOXA1,GGT5,LTB4R,MMP19,RIPK3,CEBPB,CSRP3,P2RY6,Ccl2,SHPK,ALOX5AP,Cd33,CSF3R,CCL20,SLC7A2,IL1RN,SLC33A1,C5AR1,ANO6,ESR1,Ctla2a/Ctla2b,PDCD4,EGFR,IL1B,SPON2,FABP4,CXCL10,CD14,FPR2,ANXA2,DUOXA2,SPI1,WFDC1,HAVCR2,CYP26B1,FCGR2A,ANXA1,VNN1,SOD3,SELP,SELPLG,MMP8,MYO9B,ABCD2,CXCL3,NLRP6,STEAP2,CYBB,FOXO3,PGLYRP2,MGLL,CLEC7A,FLOT1,ACOD1,HCK,F2RL1,FGF1,TNFAIP8L2,MICOS10-NBL1/NBL1,LITAF,ACE,SELE,PIK3R1,RAC2,SDC1,ARHGEF5,CAPG,LDLR,TREM1,MAPT,CTSE,IL17RB,MIF,CEBPD,CLCN7,ADAM8,MPO,TNFSF14,ICOSLG/LOC102723996,MYO1F,CXCL2,PDK4,HMOX1,CLEC4A,CCRL2,SMPDL3B,NOS2,TNFAIP3,RGS1,NLRP3,LGALS3,TNIP1,ICAM1,SIGLEC9,SUCNR1	184	
