category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Organismal Development	morphology	Morphology of body cavity	2.22e-18	0	0	0	PKHD1, ENKUR, Hspa1b, NLRP12, GGT1, ERBB4, MMP2, TNFRSF1A, LAMA3, SLC22A4, SELL, JAK3, SLIT3, CDHR2, TNFRSF9, ARRB2, ADD2, LIN7C, SREBF2, FOS, HP, ABCD3, SNAI2, FES, NFKBIZ, TNFRSF11A, CD9, SCP2, CCDC3, HBEGF, ADRA1B, ABCB10, DAPK1, Nrg1, MAS1, AHR, CLU, GSN, CXCR2, ARG2, CLEC6A, CDKN2B, ADM, DECR1, SPINK1, FST, BAX, FAS, APRT, MFAP4, CD207, EI24, WNT5A, NPC2, LEPR, ESRRG, CBX2, ARHGDIA, DCN, BCAM, BICC1, LAMB2, LMO2, EGR1, PLAT, CES1, ACSL4, RIPK3, CEBPB, EPB42, PROCR, PDGFA, CSRP3, RORC, P2RY6, NR6A1, RARB, MTHFD2, Ccl2, TK1, Mt1, APLNR, MAD2L2, PRKAG2, Mug1/Mug2, LMNA, SPIB, IL1RN, RELB, FUT8, RGN, CTSD, PTGIR, ESR1, DHCR7, ASB4, EGFR, CHST3, AEBP1, FPR2, ADAM15, PAWR, ALPL, GPX3, CABIN1, SELP, RASSF1, PPP1R15A, CYBB, FOXO3, MGLL, CLEC7A, F2RL1, FGF1, TNFAIP8L2, ABCB4, BCL3, DNAH11, ACSL1, BIK, MZB1, EHD4, TAL1, DYNC2LI1, SLC4A1, SLC39A8, SPN, G6PD, CD5L, TFF1, CP, CSF2RB, ICOSLG/LOC102723996, Cyp2j5, ABCA1, KCNN4, EPOR, TNFRSF10A, PRLR, CYP1A2, RGS1, CTNNBIP1, TNIP1, GUCY2C, ICAM1, ADA, KRT8, LOX, CLDN7, LGMN, NCF1, PPARA, COL5A3, FCER1G, ITGB2, BIRC3, GLA, ATF3, ARHGDIB, ALOX5, NEK8, TRPM2, JUND, HDC, FZD1, GHR, RGS2, FGL1, F11, ZFP36, FOXA2, TLR2, ABCA7, Ptprd, IFT122, Cd24a, CLDN15, LCN2, IGF1, NFKB2, RNF186, NUPR1, STAT6, ACACB, SOAT2, ATP4A, STAT5B, XYLT2, JUNB, JUN, CXCL12, CLEC4E, SOCS3, CCR1, LY6E, IL6R, SLC20A1, FASN, MEGF8, WT1, FKBP1B, KLF4, IRAK3, FGFRL1, ITGA2B, MGMT, TKT, AREG, AKAP12, GCNT1, DUSP1, PPP1R3C, Akr1b7, IER3, STAT5A, GPR39, HOPX, CPT2, IGFBP3, CEBPE, NTRK2, MARCO, NT5E, STEAP4, CTBS, CCR2, MAP4K4, STAT4, SMPD3, KLF6, CAPN1, NR4A1, CLEC4D, BMF, S100A6, IGFBP2, DUOXA1, TERT, SLC22A1, TSC22D1, SLC2A4, GPR12, CYP51A1, NFE2, EPM2A, NEU3, DUSP8, SALL4, DES, LIMS2, AQP7, SEL1L, CYP2E1, NFKBIA, ANGPTL4, CMKLR1, PLS1, MAP3K8, PNPLA2, HSD11B1, Cdkn1c, CD86, FABP2, SELENON, HSD17B2, EHD3, IL1B, CTF1, FLNA, CD14, HSPB8, IGFBP5, LIF, DUOXA2, SPI1, PIM1, ABCG2, RBM38, SLC2A9, SERPINE1, NLRP6, CDK5RAP1, PGLYRP2, P2RX3, THRB, IKBKE, ANXA7, HCK, COX7A1, ITGA3, MMP12, DDR1, HSPA4L, SELE, PIK3R1, ACE, SDC1, MRTFA, RHBDF1, LDLR, TSC22D3, TFF3, Tpm1, HSD17B7, PCCA, TRAF4, BLNK, MIF, PNKD, MMP15, CXADR, GDF15, TNFSF14, ITGA6, MFGE8, VIPR1, HADH, MYH10, FDFT1, GATA1, HMOX1, HEYL, KRT18, PLEK2, SYNPO, PCTP, IGFBP1, GSTZ1, MMUT, NOS2, NGFR, TNFAIP3, NLRP3, SLC13A5, LGALS3, TIMP1, DMRT2, HPX	338
Immunological Disease, Inflammatory Disease, Inflammatory Response, Neurological Disease, Organismal Injury and Abnormalities	experimental autoimmune encephalomyelitis	Experimental autoimmune encephalomyelitis	3.5e-18	0	1.253	0.884	NSDHL, CX3CR1, MMP2, TNFRSF1A, FDPS, NCF1, SELL, PPARA, VSIR, FCER1G, TRPM2, LSS, STING1, HDC, TYROBP, NFKBIZ, S1PR1, IFI30, SOX5, TNFRSF21, MAS1, AHR, BATF, STAT6, MYLK, SOAT2, BAX, FAS, MVD, SERPINB1, CLEC4E, LGALS1, CCR1, HMGCR, KLKB1, KLF4, SQLE, DUSP1, CD68, NT5E, GSDMD, CCR2, TRPM4, STAT4, MBP, STIM2, NR4A1, CLEC4D, PLAT, MSMO1, HLA-A, TM7SF2, CYP51A1, PROCR, RORC, RRAS, DUSP10, Ccl2, Mt1, CD300LF, GADD45B, NFKBIA, IDI1, MVK, MAP3K8, RGCC, VWF, NGF, CD86, ESR1, DHCR7, IL18R1, PDCD4, EHD3, IL1B, CXCL10, LIF, SPI1, ACKR4, ABCG2, HAVCR2, FCGR2A, PMVK, CDCP1, F2RL1, LAMA5, SDC1, HSD17B7, IL18BP, MAPT, EHD4, MIF, CASP4, HMGCS1, SPN, SGPL1, MPO, FDFT1, Irgm1, NOS2, NGFR, DHCR24, NLRP3, EGR2, TIMP1, HPX	106
Cellular Movement	chemotaxis	Chemotaxis	3.85e-18	Increased	4.97	3.544	Ccl2, LOX, NLRP12, CX3CR1, MMP2, ERBB4, RASGRP4, NEDD9, CSF3R, SELL, CCL20, PIK3R5, FGR, FCER1G, ITGB2, ALOX5, TRPM2, HSD3B7, HP, C5AR1, RELB, ANO6, CD9, HCAR2, TLR2, Saa3, S1PR1, IL1B, CXCL10, TREM3, LILRB3, FPR2, SPI1, ACKR4, LCN2, FCGR2A, ANXA1, NFKB2, SELP, GSN, CXCR2, STAT6, SELPLG, MYO9B, CXCL3, Retnlg, FLOT1, SERPINB1, FGFBP1, ITGAM, CXCL12, HCK, F2RL1, HPSE, WNT5A, CCR1, MICOS10-NBL1/NBL1, LITAF, LBP, SELE, CAMP, CCL3L3, TREM2, RAC2, S100A4, EPHB1, CX3CL1, ARHGEF5, CAPG, LDLR, GPSM3, Pde4d, TREM1, TREML2, MARCO, CTSE, MIF, NT5E, CCR2, TRPM4, S100A8, Ccl7, ADAM8, TNFSF14, SEMA3B, PLAUR, S100A9, MYO1F, CXCL2, CCRL2, LTB4R, RGS1, LGALS3, ICAM1, SUCNR1	95
Cellular Function and Maintenance	function	Function of antigen presenting cells	4.85e-18	0	0	0	ADA, Ccl2, Mt1, LGMN, FCGR1A, TNFRSF1A, JAK3, SELL, FGR, GADD45B, FCER1G, CARD9, NFKBIA, BIRC3, CMKLR1, FOS, TRPM2, RELB, TYROBP, ZFP36, CD9, FES, TLR2, IL1B, IFI30, CD14, CXCL10, FPR2, FCGR2A, RHBDF2, SAMSN1, NFKB2, AHR, GSN, STAT6, CLEC6A, MYO9B, CYBB, CLEC7A, ITGAM, HCK, CLEC4E, CCR1, MMP12, BCL3, IRAK3, LCP1, CX3CL1, ARHGEF5, CAPG, CHI3L1, MARCO, TRAF4, CCR2, TRPM4, CSF2RB, PLAUR, SLPI, GPNMB, EGR1, PLAT, TPCN1, PCTP, NOS2, LTB4R, RGS1, NLRP3, RIPK3, CEBPB, LGALS3, ICAM1, P2RY6, SIGLEC9, SUCNR1	74
Tissue Development	accumulation	Accumulation of cells	8.81e-18	Increased	2.725	2.405	Ccl2, NLRP12, CX3CR1, NCF1, SELL, VSIR, TNFRSF9, ITGB2, CARD9, ARRB2, LRP8, ALOX5, CMKLR1, IL1RN, HDC, C5AR1, MAP3K8, TYROBP, Cdkn1c, CD86, TLR2, S1PR1, EGFR, IL1B, CXCL10, TNFRSF21, SPI1, PIM1, LCN2, IGF1, FCGR2A, OSMR, PRTN3, SELP, CLU, CXCR2, STAT6, SELPLG, MMP8, ELANE, CXCL3, FAS, CYBB, FOXO3, ITGAM, DAB1, ENTPD1, CXCL12, HCK, CLEC4E, TNFAIP8L2, CCR1, ZBTB16, IL6R, BCL3, SELE, CCL3L3, CIDEC, RAC2, RGS16, LAMA5, CX3CL1, LDLR, TSC22D3, DUSP1, IER3, STAT5A, P2RY2, MIF, NT5E, CCR2, S100A8, Ccl7, CD5L, SGPL1, BMF, ICOSLG/LOC102723996, ITGA6, S100A9, EGR1, PLAT, CXCL2, TERT, HMOX1, CLEC4A, KRT18, NLRP3, RIPK3, MAPK13, TIMP1, ICAM1, RORC	92
Cellular Movement	homing	Homing of cells	9.07e-18	Increased	5.089	3.591	LOX, NLRP12, CX3CR1, MMP2, ERBB4, RASGRP4, NEDD9, SELL, JAK3, PIK3R5, FGR, FCER1G, ITGB2, ALOX5, TRPM2, HSD3B7, HP, SNAI2, CD9, HCAR2, Saa3, TLR2, S1PR1, TREM3, LILRB3, LCN2, NFKB2, GSN, CXCR2, BATF, STAT6, Retnlg, SERPINB1, FGFBP1, ITGAM, CXCL12, HPSE, WNT5A, CCR1, LBP, CAMP, CCL3L3, TREM2, S100A4, EPHB1, CX3CL1, GPSM3, GCNT1, Pde4d, IGFBP3, TREML2, MARCO, NT5E, CCR2, TRPM4, S100A8, Ccl7, PLAUR, S100A9, LTB4R, Ccl2, NQO2, CSF3R, CCL20, C5AR1, RELB, ANO6, IL1B, CXCL10, FPR2, SPI1, ACKR4, FCGR2A, ANXA1, SELP, SELPLG, MYO9B, CXCL3, FLOT1, HCK, F2RL1, MICOS10-NBL1/NBL1, LITAF, SELE, RAC2, ARHGEF5, CAPG, LDLR, TREM1, CTSE, MIF, ADAM8, TNFSF14, SEMA3B, MYO1F, CXCL2, CCRL2, RGS1, LGALS3, ICAM1, SUCNR1	101
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of leukocytes	1.41e-17	Increased	3.257	2.647	ADA, CX3CR1, FCGR1A, NCF1, JAK3, VSIR, FCER1G, TNFRSF9, ITGB2, ATF3, ALOX5, DAPP1, TRPM2, SNCA, STING1, TYROBP, FGL1, FOXA2, NFKBIZ, SLC11A1, Saa3, TLR2, LILRB3, LAPTM5, TARM1, Cd24a, SBNO2, LCN2, SAMSN1, NFKB2, AHR, PRTN3, IL18RAP, STAT6, ELANE, BAX, STAT5B, FAS, MAOB, ITGAM, LGALS1, Orm1 (includes others), IL6R, IFNLR1, LBP, CAMP, TREM2, IRAK3, GFI1B, DCT, DUSP1, STAT5A, CEBPE, TREML2, CCR2, TRPM4, S100A8, STAT4, MBP, NR4A1, CLEC4D, CD79B, PLAT, HLA-A, LTB4R, MMP19, CEBPB, Ccl2, SHPK, CD300LF, CARD9, NFKBIA, SLC7A2, BRINP1, SAA1, IL1RN, SLC33A1, RELB, MAP3K8, ANO6, HSD11B1, NGF, CD86, IL18R1, BACH2, EGFR, SPON2, IL1B, CD14, CXCL10, ANXA2, HAVCR2, FCGR2A, ANXA1, SELP, CXCL3, CYBB, FOXO3, PGLYRP2, HCK, FGF1, F2RL1, TNFAIP8L2, BCL3, ACE, IL15RA, CCDC88B, LDLR, MAPT, BLNK, MIF, SPN, CLCN7, TNFSF14, CSF2RB, ICOSLG/LOC102723996, SLPI, PDK4, NOS2, TNFAIP3, NLRP3, LGALS3, CHRNA4, ICAM1, SUCNR1	125
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of antigen presenting cells	1.45e-17	0	1.988	1.546	ADA, Ccl2, Mt1, CX3CR1, TNFRSF1A, SELL, JAK3, FCER1G, ITGB2, ARRB2, NFKBIA, F630028O10Rik, BIRC3, SLC7A2, SPIB, LILRB4, CXCR6, SNCA, IL1RN, C5AR1, RELB, SNAI2, TYROBP, GHR, HSD11B1, CD86, TLR2, BACH2, HBEGF, IL1B, CXCL10, FPR2, LIF, SPI1, ACKR4, Mbl1, LCN2, HAVCR2, NFKB2, AHR, SLFN12L, SELP, CLU, SELPLG, MMP8, CDKN2B, FAS, IL36G, CYBB, CLCF1, HCK, CLEC4E, F2RL1, LGALS1, SOCS3, MMP12, PGLYRP1, ADM2, DDR1, KLKB1, BCL3, LITAF, CAMP, CLDN1, IL15RA, LEPR, TREM2, IRAK3, CX3CL1, ARHGEF5, LDLR, STAT5A, MAPT, MIF, NT5E, STEAP4, CCR2, TRPM4, CD5L, STAT4, GDF15, SREBF1, ADAM8, RAPGEF4, CLEC4D, ABCA1, PLAT, HMOX1, GATA1, CLEC4A, NOS2, TNFAIP3, ACAT1, LGALS3	94
Cardiovascular Disease, Organismal Injury and Abnormalities	occlusion	Occlusion of artery	2.22e-17	Increased	3.659	3.359	Ccl2, LOX, CX3CR1, TNFRSF1A, ECSCR, ACAT2, NCF1, PPARA, PLA2G7, NFKBIA, ANGPTL4, ALOX5, SAA1, CXCR6, ADAMTS13, VWF, ZFP36, SCP2, TLR2, ESR1, PON1, SLC30A3, IL1B, FABP4, CXCL10, ABCG5, MAS1, LCN2, OLR1, OSMR, VNN1, PCSK9, AHR, SELP, CLU, ARG2, SERPINE1, SOAT2, PLTP, SERPIND1, ENTPD1, ITGAM, APOA4, SOCS3, CCR1, MMP12, DDR1, F13A1, SELE, CCL3L3, TREM2, CX3CL1, LDLR, MIF, CCR2, GCLC, GDF15, SREBF1, MPO, NR4A1, PLAUR, ABCA1, EGR1, CXCL2, ABCG8, CES1, HMOX1, NOS2, LTB4R, TNFAIP3, ACAT1, LGALS3, TIMP1, PROCR, ICAM1	75
Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	experimental colitis	Experimental colitis	2.82e-17	0	-1.082	-0.769	DUSP10, Ccl2, Cd52, DHRS9, JAK3, SEL1L, ARHGDIB, FOS, LILRB4, IL1RN, HP, MS4A6A, Igtp, Saa3, TLR2, LRG1, MPEG1, S1PR1, IL1B, CXCL10, LAPTM5, DUOXA2, SERPINA3, LCN2, LYZ, Serpina3g (includes others), CXCR2, Slfn1, CXCL3, TNFRSF12A, NLRP6, IFI16, CD53, CYBB, TNFAIP8, Retnlg, ACOD1, CLEC4E, SOCS3, IL6R, LBP, PIK3R1, CAMP, CCL3L3, AREG, CD177, TREM1, NT5E, SPRR1A, STEAP4, CLCN5, CCR2, S100A8, S100A9, CD79B, GPNMB, Ms4a4c (includes others), NOS2, TNFAIP3, GBP6, NLRP3, TIMP1, Ly6a (includes others)	63
Metabolic Disease, Organismal Injury and Abnormalities	glucose metabolism disorder	Glucose metabolism disorder	2.82e-17	0	0.653	1.542	TMC7, TNFRSF1A, SELL, SLC22A25, IL1R2, TNFRSF9, Mup1 (includes others), LILRB4, Ifi27l2a/Ifi27l2b, DERL2, CXCR6, SNCA, CD300A, ADRA1B, LILRB3, MAS1, Gm5524, LYZ, COL5A2, Gk, MASP2, CLEC6A, PHLDA3, FST, BAX, IFI16, FAS, BTN1A1, Acnat1/Acnat2, HPSE, ADM2, SLC22A7, MCUB, Apol7e (includes others), LEPR, CCL3L3, CIDEC, ACSM3, LPAR3, GSTP1, IPCEF1, PNLIPRP1, CD79B, EGR1, Ms4a4c (includes others), LTB4R, CEBPB, SLC35D3, RORC, RHCE/RHD, HMGCS2, Ccl2, LMNA, SPIB, IL1RN, CAT, CPT1C, CIDEA, HACL1, ESR1, DGAT2, MPZL2, PDCD4, EGFR, FABP4, CXCL10, SCN8A, GGCT, BDH1, HAVCR2, OSMR, ACOT1, CYBB, FOXO3, FKBP11, F2RL1, FGF1, IL15RA, IL18BP, MZB1, CASP4, RIDA, SPN, G6PD, CD5L, CSF2RB, ABCA1, MYO1F, GPNMB, Snhg11, FXYD5, CLEC4A, HEMGN, Irgm1, PRLR, RGS1, AGMO, PRKAA2, Ly6a (includes others), GUCY2C, C1orf162, ICAM1, SERPING1, KRT8, CX3CR1, FCGR1A, PTPRB, NCF1, PPARA, COL5A3, FCER1G, PKM, ITGB2, ATF3, HDC, TYROBP, GHR, MS4A6A, FGL1, TLR2, UGT2B10, Akr1c14, FABP7, LCN2, IGF1, PDK3, STAT6, ACACB, STAT5B, MAOB, CCR1, SOCS3, FASN, S100A4, FKBP1B, IRAK3, LCP1, MGMT, PPP1R3C, Akr1b7, NT5E, STEAP4, ARHGDIG, CCR2, STAT4, SREBF1, PAK1, NR4A1, S100A6, GALNT6, HLA-A, SLC2A4, CYP51A1, EPM2A, Gm4951, TMEM71, NEU3, GCKR, Ccl6, ALOX5AP, TRIB3, REEP5, AQP7, SEL1L, NFKBIA, ANGPTL4, CMKLR1, LPIN1, GLUD1, TCF24, PNPLA2, SERPINB8, HSD17B13, HSD11B1, PPP1R3B, CD86, FABP2, MPEG1, CTF1, IL1B, IGFBP5, FCGR2A, ANXA1, BBOX1, SERPINE1, STEAP2, SIRPB1, ACE, PIK3R1, IDO2, MRTFA, FITM2, CAPG, LDLR, TSC22D3, MIF, PLEK, GLDC, VIPR1, CCRL2, IGFBP1, NOS2, NGFR, AGAP2, NLRP3, GBP6, MCAM, LGALS3	208
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of blood cells	3.27e-17	Increased	3.847	2.849	Ccl2, LOX, TNFRSF1A, NEDD9, CSF3R, SELL, FGR, PKM, FCER1G, ITGB2, TNFRSF9, ADAMTS13, TYROBP, VWF, FERMT3, CD9, CD86, TLR2, IL1B, SPON2, FLNA, LILRB3, FPR2, Cd24a, LIF, SPI1, FCGR2A, ANXA1, NFKB2, LTF, SELP, CXCR2, STAT6, SELPLG, ELANE, SERPINE1, CXCL3, FAS, CYBB, ANXA7, CXCL12, ITGAM, HCK, STXBP2, CCR1, LGALS1, IL6R, LBP, SELE, CAMP, CCL3L3, RAC2, TREM2, RGS16, MYO1G, PER1, DCN, APBB1IP, MARCO, MIF, Cmah, SPN, GDF15, MPO, PAK1, CSF2RB, ITGA6, PLAUR, CXCL2, NOS2, Irgm1, LTB4R, LGALS3, PROCR, Ly6a (includes others), ICAM1	76
Cardiovascular Disease, Organismal Injury and Abnormalities	vaso-occlusion	Vaso-occlusion	4.95e-17	Increased	3.751	3.473	Ccl2, LOX, CX3CR1, TNFRSF1A, ECSCR, ACAT2, NCF1, PPARA, PLA2G7, NFKBIA, ANGPTL4, ALOX5, SAA1, CXCR6, ADAMTS13, VWF, ZFP36, SCP2, TLR2, ESR1, PON1, SLC30A3, IL1B, FABP4, CXCL10, ABCG5, MAS1, LCN2, OLR1, OSMR, VNN1, PCSK9, AHR, SELP, CLU, ARG2, SERPINE1, SOAT2, PLTP, SERPIND1, ENTPD1, ITGAM, APOA4, SOCS3, CCR1, MMP12, DDR1, F13A1, SELE, CCL3L3, TREM2, CX3CL1, LDLR, MIF, CCR2, GCLC, GDF15, SREBF1, F2RL2, MPO, NR4A1, PLAUR, ABCA1, EGR1, CXCL2, ABCG8, CES1, HMOX1, NOS2, LTB4R, TNFAIP3, ACAT1, LGALS3, TIMP1, PROCR, ICAM1	76
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	chemotaxis	Chemotaxis of phagocytes	5.19e-17	Increased	5.033	3.834	Ccl2, CX3CR1, NLRP12, RASGRP4, CSF3R, SELL, PIK3R5, FGR, FCER1G, ITGB2, ALOX5, TRPM2, HP, C5AR1, ANO6, CD9, HCAR2, TLR2, IL1B, TREM3, LILRB3, FPR2, SPI1, LCN2, FCGR2A, SELP, GSN, CXCR2, STAT6, SELPLG, MYO9B, CXCL3, FLOT1, SERPINB1, CXCL12, ITGAM, HCK, HPSE, MICOS10-NBL1/NBL1, LBP, LITAF, SELE, CCL3L3, RAC2, S100A4, CX3CL1, ARHGEF5, CAPG, LDLR, Pde4d, TREM1, TREML2, MARCO, CTSE, MIF, CCR2, TRPM4, Ccl7, S100A8, MYO1F, CXCL2, CCRL2, LTB4R, LGALS3, ICAM1	65
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking	adhesion	Adhesion of immune cells	1.06e-16	Increased	3.726	2.734	Ccl2, TNFRSF1A, NEDD9, CSF3R, SELL, FGR, PKM, ITGB2, TNFRSF9, ADAMTS13, TYROBP, FERMT3, CD9, CD86, TLR2, IL1B, SPON2, FLNA, LILRB3, FPR2, Cd24a, LIF, SPI1, FCGR2A, ANXA1, NFKB2, LTF, SELP, CXCR2, STAT6, SELPLG, ELANE, SERPINE1, CXCL3, FAS, CYBB, CXCL12, ITGAM, HCK, STXBP2, CCR1, LGALS1, IL6R, LBP, SELE, CAMP, CCL3L3, RAC2, TREM2, RGS16, MYO1G, PER1, DCN, APBB1IP, MARCO, MIF, Cmah, SPN, GDF15, MPO, PAK1, CSF2RB, ITGA6, PLAUR, CXCL2, NOS2, Irgm1, LTB4R, LGALS3, PROCR, Ly6a (includes others), ICAM1	72
Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	dextran sodium sulfate-induced colitis	Dextran sodium sulfate-induced colitis	1.29e-16	0	-0.926	-0.723	Ccl2, DUSP10, Cd52, DHRS9, JAK3, SEL1L, ARHGDIB, FOS, LILRB4, HP, MS4A6A, Igtp, Saa3, TLR2, LRG1, MPEG1, IL1B, CXCL10, LAPTM5, DUOXA2, SERPINA3, LCN2, LYZ, Serpina3g (includes others), CXCR2, Slfn1, CXCL3, TNFRSF12A, NLRP6, IFI16, CYBB, CD53, TNFAIP8, Retnlg, ACOD1, CLEC4E, SOCS3, IL6R, PIK3R1, CCL3L3, CAMP, AREG, CD177, SPRR1A, NT5E, STEAP4, CLCN5, S100A8, S100A9, CD79B, GPNMB, Ms4a4c (includes others), NOS2, GBP6, NLRP3, TIMP1, Ly6a (includes others)	57
Cell Death and Survival	necrosis	Necrosis	1.41e-16	0	1.227	2.09	ERBB4, MMP2, TNFRSF1A, PRKAR2B, LAMA3, SELL, JAK3, SLIT3, TNFRSF9, ALDOA, ARRB2, FOS, ZYX, SNCA, SNAI2, SORL1, CD9, SCP2, S1PR1, HBEGF, MME, LILRB3, DAPK1, TNFRSF21, SLC1A2, SERPINA3, SDR16C5, C6, Gm5524, ST3GAL3, LYZ, AHR, CLU, GSN, A4GALT, ELANE, ADM, EPHX1, DECR1, BAX, IFI16, FAS, APRT, ACHE, ITGAM, EI24, LGALS1, WNT5A, HPSE, PGLYRP1, RHOC, Apol7e (includes others), CCL3L3, TREM2, MXD1, STX1B, DCN, GSTP1, SPRR1A, LAMB2, GSDMD, TRPM4, Clca3a1/Clca3a2, CD79B, EGR1, PLAT, CES1, NHLRC1, RIPK3, CEBPB, PROCR, ORMDL3, RORC, MVP, Ccl2, Mt1, MAD2L2, KCNB1, UBD, CSF3R, PRKAG2, Mug1/Mug2, LMNA, SPIB, NCF2, SAA1, IL1RN, ATG3, RELB, GSR, CAT, RGN, RAD51D, CTSD, ESR1, EGFR, FABP4, PAWR, HAVCR2, OSMR, Pvr, CABIN1, SELP, RASSF1, SELPLG, PPP1R15A, SSTR2, CYBB, FOXO3, TNFAIP8L2, ABCB4, BCL3, F13A1, IL15RA, LAMA5, GPX4, ACSL1, Nrbp2, CCN4, TRIM10, MAPT, CASP4, TAL1, CREG1, SPN, G6PD, CD5L, CEBPD, SGPL1, CSF2RB, SLPI, ICOSLG/LOC102723996, LECT2, EPOR, BLK, TNFRSF10A, Irgm1, PRLR, DHCR24, NAMPT, CIT, PRKAA2, TNIP1, Ly6a (includes others), GUCY2C, ATXN1, ADA, KRT8, CX3CR1, LGMN, NCF1, PPARA, VSIR, COL5A3, FCER1G, PKM, ITGB2, DPYSL4, BIRC3, ATF3, STING1, JUND, TYROBP, GHR, F11, WIF1, ZFP36, CYP1B1, TLR2, Saa3, Neat1, Cd24a, LCN2, IGF1, NFKB2, RAI14, PCSK9, RNF186, NUPR1, DUSP9, STAT6, STAT5B, PRPH, YWHAZ, MAOB, JUN, ENTPD1, MAPKAPK3, CXCL12, SOCS3, IL6R, SLC20A1, FASN, LBP, CAMP, CACNB2, WT1, KLF4, IRAK3, VIM, MGMT, GFI1B, CHI3L1, MLKL, ANKRD1, GCNT1, DUSP1, IER3, STAT5A, SLC6A8, GSTM5, CSTA, IGFBP3, NTRK2, CCR2, STAT4, MBP, KLF6, PAK1, CAPN1, NR4A1, BMF, IGFBP2, Ngp, TERT, GFAP, PLK3, HLA-A, DUSP5, SLC2A4, SPC25, ACAT1, EPM2A, FRZB, HK1, RRAS, NEU3, SALL4, Serpinb6b, ECSCR, NQO2, DES, LIMS2, AQP7, GADD45B, SEL1L, CYP2E1, NFKBIA, TRIP6, PLS1, C5AR1, ADAMTS13, ASCL1, MAP3K8, PNPLA2, SLC25A24, VWF, Cdkn1c, NGF, TNNT1, CD86, GPI, BHLHB9, ZMYND10, BACH2, IL1B, CTF1, FLNA, CD14, CDC25A, CABLES2, ANXA2, IGFBP5, LIF, SPI1, PIM1, ABCG2, ANXA1, RASD1, MMP8, SERPINE1, CXCL3, IL36G, THRB, TNFAIP8, IKBKE, TTR, LINGO1, PLSCR1, TMEM132A, SELE, PIK3R1, RAC2, MRTFA, LDLR, TSC22D3, GRIA2, Clec2d (includes others), TFF3, TREM1, BLNK, MIF, CXADR, CLCN7, GDF15, ADAM8, RAPGEF4, MPO, MEFV, ITGA6, MFGE8, MYH10, GATA1, HMOX1, KRT18, CBLC, PCTP, IGFBP1, PERP, GSTZ1, NOS2, NGFR, TNFAIP3, AGAP2, NLRP3, SERPINA1, SCN2A, EGR2, LGALS3, TIMP1, DNMT3B	331
Cell-To-Cell Signaling and Interaction	binding	Binding of blood cells	1.6e-16	Increased	3.888	2.849	Ccl2, LOX, TNFRSF1A, NEDD9, CSF3R, SELL, FGR, PKM, FCER1G, ITGB2, TNFRSF9, ARRB2, ADAMTS13, TYROBP, VWF, FERMT3, CD9, CD86, TLR2, IL18R1, IL1B, SPON2, FLNA, LILRB3, FPR2, Cd24a, LIF, SPI1, FCGR2A, ANXA1, NFKB2, LTF, SELP, CXCR2, STAT6, SELPLG, ELANE, SERPINE1, CXCL3, FAS, CYBB, ANXA7, CXCL12, ITGAM, HCK, STXBP2, CCR1, LGALS1, IL6R, LBP, PIK3R1, SELE, CAMP, CCL3L3, RAC2, TREM2, RGS16, MYO1G, GCNT1, PER1, DCN, APBB1IP, MARCO, MIF, Cmah, SPN, GDF15, MPO, PAK1, CSF2RB, ITGA6, PLAUR, CXCL2, NOS2, Irgm1, LTB4R, LGALS3, NFE2, CHRNA4, PROCR, Ly6a (includes others), ICAM1	82
Cellular Function and Maintenance, Hematological System Development and Function	function	Function of myeloid cells	2.35e-16	0	0	0	Ccl2, Mt1, LGMN, FCGR1A, TNFRSF1A, RASGRP4, SELL, FGR, FCER1G, CARD9, NFKBIA, BIRC3, FOS, TRPM2, RELB, ZFP36, CD9, FES, TLR2, IL1B, CD14, CXCL10, FCGR2A, RHBDF2, NFKB2, AHR, GSN, CXCR2, STAT6, CLEC6A, MYO9B, CYBB, CLEC7A, ITGAM, HCK, CLEC4E, CCR1, MMP12, BCL3, S100A4, LCP1, CAPG, MARCO, CCR2, CSF2RB, PLAUR, SLPI, EGR1, PLAT, TPCN1, PCTP, NOS2, LTB4R, DUSP5, NLRP3, RIPK3, CEBPB, LGALS3, ICAM1, P2RY6, SIGLEC9	61
