analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	XDH	0.1	enzyme	0	-0.707	0	-0.194	-0.159	6.34e-05	Ccl2, CEBPB, CXCL3, CYBB, IL1B, PPARA, SERPINE1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	ADIPOQ	0	other	Inhibited	-2.282	0	0.049	-2.492	6.38e-05	Acaa1b, ACACB, ACLY, ACSL1, BAX, Ccl2, CXCL10, CXCL2, CYBB, FABP4, FASN, Gk, HMGCS2, HMOX1, IL1B, MMP2, NCF1, NCF2, NFKBIA, NOS2, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	mir-21	0.12	microrna	0	-1.836	0	-0.128	-1.19	6.51e-05	BTG2, CASP4, CCL3L3, CLEC5A, CSF3R, CXCL10, EGR2, FCGR1A, FCGR2A, GBP6, ICOSLG/LOC102723996, IFI16, IL36G, Irgm1, MARCO, NLRP3, Orm1 (includes others), PDCD4, PER3, SIRPB1, SLC25A37, Slfn2, SLPI, TLR2, TNFRSF9, TREM2
ndr_vs_wt_all - 2020-11-20 05:39 PM	THRB	-0.496	ligand-dependent nuclear receptor	0	-0.488	0	0.051	-0.74	6.64e-05	ABCD2, ABCD3, AMPD3, BCL3, BIRC3, BTG2, Ccl2, CCN4, Cd33, COX7A1, CTSD, CXCL10, CXCL2, CXCL3, DCN, FASN, FDPS, FOS, FRAT1, FZD1, IGFBP2, ITIH1, JUN, LDLR, MMP2, PER1, PGD, PORCN, STAT5B, TECTA, TLR2, TREM1, WIF1, WNT2
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL13	0	cytokine	0	1.795	0	0.155	1.164	6.98e-05	ABCA1, ACSL1, Ccl2, CCL3L3, Clca3a1/Clca3a2, CXCL2, CXCL3, FAS, IL1B, LILRB3, MMP12, MMP2, NOS2, RORC, SERPINA1, SLPI, TIMP1, TNFRSF11A, TNFRSF1A, VNN1
ndr_vs_wt_all - 2020-11-20 05:39 PM	HIF1A	-0.022	transcription regulator	Activated	2	0	0.128	1.351	7.19e-05	ACE, ADM, CAVIN2, Ccl2, CCR2, Cdkn1c, CXCL12, CXCL2, CXCL3, EPOR, ERBB4, IGFBP5, IL1B, JUN, LIFR, MIF, MMP2, NOS2, P4HA2, PDGFA, PKM, RORC, SERPINE1, SLC16A3, SLC25A37, SLC40A1, SOCS3, TERT, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	FOXO3	0.556	transcription regulator	0	-1.443	0	-0.029	-1.304	7.35e-05	ACLY, AQP4, CAT, ELOVL5, ELOVL7, ENO2, FABP4, FASN, FOS, FOSB, GPX3, HMGCR, ITGAM, ITGB2, JUNB, LCN2, NAMPT, Prg4, PRKAA2, PTPRB, SELL, SERPINB1, SOX5, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	NRIP1	-0.043	transcription regulator	0	-0.327	0	-0.125	0.1	7.44e-05	ACACB, AREG, CIDEA, COX7A1, CPT1B, FASN, IL1B, LDHB, PDK4, PPP1R3B, RARB, SLC16A10, SUOX
ndr_vs_wt_all - 2020-11-20 05:39 PM	BAG1	0.277	other	0	-0.152	0	0	-0.152	7.55e-05	EGFR, FKBP5, Hspa1b, MAPT
ndr_vs_wt_all - 2020-11-20 05:39 PM	ELK3	-0.049	transcription regulator	0	0	0	0	0	7.55e-05	EGR1, FOS, HMOX1, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	LRP8	0.958	transmembrane receptor	0	-0.392	0	0.129	-0.645	7.55e-05	ABCA1, CLU, DAB1, GPX4
ndr_vs_wt_all - 2020-11-20 05:39 PM	PDE8A	-0.107	enzyme	Inhibited	-2	bias	-0.258	-1.484	7.55e-05	CYP51A1, FDPS, HMGCR, LDLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	Pde4	0	group	Inhibited	-2	bias	-0.258	-1.484	7.55e-05	CYP51A1, FDPS, HMGCR, LDLR
ndr_vs_wt_all - 2020-11-20 05:39 PM	TAF4	-0.054	transcription regulator	0	-1.673	0	-0.179	-1.009	7.57e-05	AREG, CARMIL1, CLDN1, DCN, EGFR, EHF, FOXA2, HBEGF, HOPX, IL1RN, ITGA6, KLF4, MAFF, MAFK, MAP3K6, MAP4K4, MMP2, MXD1, PDGFA, SCUBE1, SPRR1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTPRJ	0.026	phosphatase	Activated	3.207	bias	0.258	2.241	8.22e-05	CCL3L3, Ccl7, CEBPD, CXCL2, CXCL3, FCER1G, HBEGF, HDC, MARCO, NFKBIZ, OASL, PLAT, SLFN12L, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Tcf7	-0.015	transcription regulator	0	-0.784	0	-0.009	-0.73	8.26e-05	ATP6V0A1, BATF, BLK, CCL3L3, CCR2, CD83, CROT, DHCR24, EGR2, ENO2, EPHX1, FDPS, GATA1, GGT1, GM2A, GPD1L, IL15RA, KLF6, LDLR, MSMO1, MVD, MXD1, NR6A1, NUPR1, OSBPL3, PAPSS2, PLTP, Prg4, RORC, RRAGD, SCP2, SDC1, SELL, SOCS3, SPECC1, SQLE, SREBF2, STX11, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CCR2	1.897	g-protein coupled receptor	0	0.987	0	0.171	0.207	8.34e-05	AEBP1, Ccl2, CCL3L3, Ccl6, Ccl7, CCR1, CCR2, CD86, COL6A2, CX3CL1, CXCL10, CXCL12, CXCL2, CXCL3, DCN, F13A1, IGF1, IL1B, LAMB2, MMP2, SLPI, TIMP1, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	PARP1	-0.057	enzyme	0	0.706	0	0.16	0.079	8.65e-05	ABCA1, BAX, Ccl2, CXCL10, CXCL3, CXCR2, FOS, GBP6, HMOX1, ICAM1, Igtp, IL18BP, IL1B, JUN, MMP2, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TNIP1	0.882	other	Inhibited	-3.274	0	-0.161	-2.746	9.14e-05	CCL20, CCR1, CXCL2, CXCL3, IL1B, LCN2, MMP8, S100A8, S100A9, Saa3, Stfa2/Stfa2l1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR4A1	2.026	ligand-dependent nuclear receptor	0	-0.685	0	-0.084	-0.29	9.16e-05	ACLY, ACSL4, ADM, CIDEA, Clca3a1/Clca3a2, CST7, CYP17A1, EHF, ENO2, FABP4, FASN, G6PD, GPI, GSTM5, HDC, HK3, HMOX1, IL1B, KRT18, KRT8, Ly6a (includes others), LY6E, MMP8, Mt1, NR4A1, NT5E, NUCB2, PCK2, PDK3, PDK4, SERPINE1, SLC2A4, SREBF1, SUCLG1, TAGLN2, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR3C1	-0.463	ligand-dependent nuclear receptor	0	-0.696	0	-0.016	-0.619	9.82e-05	ABCA1, ADM, ANGPTL4, AS3MT, CAT, Ccl2, CCL3L3, COL6A2, CXCL10, DBI, DGAT2, DUSP1, EGR1, F2RL1, FABP4, FOS, G6PD, GLUL, GRIA2, GRIA3, HCAR2, HMGCS2, IGF1, IGFALS, IGFBP1, IL1B, LPIN1, NFKBIA, NOS2, OASL, PCK2, PNPLA2, PPARA, PRPH, RAPGEF4, SERPINA1, TSC22D3, WNT5A
ndr_vs_wt_all - 2020-11-20 05:39 PM	BPIFA1	0	other	0	-0.816	0	0.052	-0.943	9.85e-05	CAMP, CCL20, CXCL2, CXCL3, IL1B, LTF
ndr_vs_wt_all - 2020-11-20 05:39 PM	MED1	-0.103	transcription regulator	0	0.594	0	0.177	0.069	9.92e-05	CCN5, CD79B, CIDEA, CYP1A2, CYP2B6, FABP4, FASN, GHR, Gk, GSTP1, IGF1, IGFBP1, KLF4, OLR1, PRLR, RARB, SALL4, SLC2A4, TFF1, TNNT1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Cyp2c23	-0.005	enzyme	0	-1.604	0	0.057	-1.763	0.000105	ASPA, Ccl2, CCR2, CD86, CX3CR1, IL36G, ITGAM, Stfa2/Stfa2l1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL5	0	cytokine	Activated	4.803	0	0.243	3.546	0.000111	ALDOA, ALDOC, ANXA2, ASNS, CHST12, CSF2RB, GLIPR2, GSTT2/GSTT2B, IFI30, IL1R2, NOS2, PFKP, PIM1, PKM, PSAT1, PYCR1, RBPMS, S100A4, S100A6, Scd2, Serpina3g (includes others), SLC16A3, SLC39A8, SLC7A5, TMEM97, TPI1, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	EIF2S1	0.059	translation regulator	0	0	0	0	0	0.000113	ADM2, HMOX1, NNMT, NUPR1, PPP1R15A, Serpina3g (includes others), SERPINA9, SLC6A9, SOAT2, SYBU, TECTA, TRIB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	JINK1/2	0	group	0	1.195	0	0.184	0.71	0.000115	Ccl2, Ccl7, FAS, FASN, SLC2A4, SREBF1, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	PCSK9	3.141	peptidase	0	1.529	0	0.215	0.972	0.000115	Ccl2, Ccl7, ICAM1, IL1B, LDLR, OLR1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTPRE	0.312	phosphatase	0	1.134	0	0.148	0.744	0.000115	Ccl7, CXCL2, CXCL3, MARCO, SLFN12L, STAT5A, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SAA1	1.686	transporter	0	1.937	bias	0.258	1.261	0.000115	Ccl2, CCL3L3, CXCL10, IL1B, MMP2, S100A8, S100A9
ndr_vs_wt_all - 2020-11-20 05:39 PM	PROC	-0.293	peptidase	Inhibited	-2.219	bias	-0.258	-1.646	0.000126	IL1B, MPO, NOS2, PROCR, SERPINE1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FGF21	0.185	growth factor	0	1.552	0	0.192	0.956	0.000126	ACLY, CIDEA, COX7A1, CPT1B, DGAT2, FASN, GHR, HMGCS2, IGF1, PDK4, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	AIP	0.102	transcription regulator	0	0.898	0	-0.023	0.982	0.000127	CMKLR1, CX3CR1, CYP1B1, DUSP1, F2RL1, GPR39, GPRC5A, NPR3, Pde4d, RGS16, RGS18, RGS2, S1PR1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IKZF1	-0.007	transcription regulator	0	-0.19	0	-0.134	0.446	0.000131	AJUBA, CCL3L3, CXCL2, EPB42, EPOR, GATA1, IFI16, IGF1, IL18R1, ITGA2B, KLF1, LILRB3, LMO2, NFE2, NGFR, RAI14, RAPGEF4, RHCE/RHD, SLPI, SPI1, SULF2, TYROBP, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	NFKBIA	0.736	transcription regulator	Activated	2.646	0	0	2.646	0.000134	Ccl2, CCL3L3, Ccl7, CXCL2, CXCL3, HLA-A, ICAM1, IL1B, LIF, NLRP12, S100A8, S100A9, TLR2, TNFSF14
ndr_vs_wt_all - 2020-11-20 05:39 PM	EP300	-0.009	transcription regulator	0	0	0	0	0	0.000135	ACACB, AKAP12, CAPG, CD53, CST7, FABP4, FASN, FDX1, Gk, GM2A, HDAC11, HMGCR, HMGCS2, HSD11B1, IL18R1, IL18RAP, IRF6, ITGA6, JUN, MAP3K8, MME, MYO1F, NOS2, OLR1, PDK4, PIPOX, PITPNM1, RAPGEF4, RNF39, RSAD2, SCN4B, SDC1, SOCS3, STAT4, TLE6, TNFAIP3, TNFAIP8L2, TUBA8, ULK2
ndr_vs_wt_all - 2020-11-20 05:39 PM	EIF2AK3	0.323	kinase	Activated	2.207	0	0.24	1.493	0.000139	ALDH18A1, ASNS, ATF3, BIRC3, BTG2, Ccl2, CCL20, CEBPB, CYB5R1, EGR1, IGF1, JUN, KLF4, NFKB2, NUPR1, PCK2, PPP1R15A, RELB, SEL1L, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	SAMSN1	0.802	other	Activated	3.13	0	0.235	2.081	0.000139	BATF, CCL3L3, Ccl7, CXCL10, CXCL2, HBEGF, HDC, IL15RA, ISG20, MARCO, NFKBIZ, OASL, PLAT, RGCC, RSAD2, SLCO3A1, SLFN12L, SOCS3, STAT5A, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	MEF2C	-0.014	transcription regulator	0	1.571	0	0.209	0.885	0.000163	ATF3, BACH2, BLK, DES, EGR2, FOS, FOSB, JUN, JUNB, JUND, NR4A1, TNNT1, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	NCOR2	-0.111	transcription regulator	0	0	0	0	0	0.000166	HBEGF, IGF1, IL1B, MMP12, MMP2, PDGFA, RELB, RORC
ndr_vs_wt_all - 2020-11-20 05:39 PM	TBK1	0.007	kinase	0	1.495	0	0.109	1.054	0.00017	ACOD1, CCL3L3, CD86, CXCL10, CXCL2, CXCL3, HDC, ICAM1, IL15RA, ISG20, MARCO, NFKBIZ, OASL, RGCC, RSAD2, SLCO3A1, TLR2, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CIDEC	2.608	other	0	-0.66	0	-0.145	-0.21	0.00017	Ccl2, CES3, CIDEA, CPT1B, DGAT2, FASN, PNPLA2, PPARA, SDC1, SREBF1, SREBF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	DMD	-0.086	other	0	0.453	0	0.117	0.126	0.000191	ACHE, ANKRD1, AQP4, ATP1B2, BLNK, BTG2, CASQ1, Cmah, CRYZ, CSRP3, DES, IGF1, KRT18, LIF, LPIN1, LYZ, MAOB, MPEG1, Mup1 (includes others), MYL4, NQO2, OBSCN, P2RY2, PDK4, PKM, PLPP3, PPP1R3C, SCN1B, SERPINA1, SERPINB1, SLC2A4, SLC46A3, SPTB, TPI1, TUBA8, VIM, WFDC1
ndr_vs_wt_all - 2020-11-20 05:39 PM	FST	1.492	other	0	0.807	0	0.168	0.238	0.000195	ACSL1, CIDEA, COX7A1, FABP4, HP, LIF, LTF, Mup1 (includes others), SAA1, SERPINA1, SLC2A4, TNFRSF9
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL12B	-0.237	cytokine	Activated	2.139	0	0.14	1.683	0.000195	Ccl2, CD86, CXCL10, ICAM1, IL1B, NOS2, RORC, S100A8, S100A9, SELPLG, SOCS3, STAT4
ndr_vs_wt_all - 2020-11-20 05:39 PM	EHHADH	-0.157	enzyme	0	0.378	bias	-0.258	1.061	0.000199	ABCD3, ACOT2, ACSL1, FASN, MGLL, PDK4, SCP2
ndr_vs_wt_all - 2020-11-20 05:39 PM	PGF	0.736	growth factor	0	0	0	0	0	0.000199	ANGPTL4, CCL20, DCN, EGR1, FOSB, FST, MAP4K4
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKCI	-0.083	kinase	0	-1.23	0	0.074	-1.422	0.000199	CLDN4, CXCL2, CXCL3, FASN, FOXA2, HK1, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Ncoa6	0.021	transcription regulator	0	1.091	0	0	1.091	2e-04	AREG, FABP4, FASN, FOS, SERPINE1, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	TLR2	1.097	transmembrane receptor	Activated	3.728	0	0.128	3.118	2e-04	ATF3, BAX, Ccl2, CCL3L3, CD86, CXCL10, CXCL2, CXCL3, CYBB, DUSP1, FPR2, HAVCR2, ICAM1, IL1B, IL1RN, MPO, NOS2, SELE, SELP, SLC40A1, SOCS3, TNFAIP8L2, TREM1, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	CSF2	0	cytokine	Activated	3.85	0	0.223	2.627	0.000249	ABCA1, ADA, ADAM8, Ccl2, CCL3L3, CD14, CD86, CXCL10, HAUS8, HMGCR, ICAM1, IDO2, IGF1, IL1B, IRAK3, ITGAM, LCP1, MNS1, NOS2, OSMR, Saa3, SLC2A3, SLC2A4, Slfn2, SPC25, SPI1, SREBF1, SREBF2, TLR2, TNFRSF1A, TPI1, UBD
ndr_vs_wt_all - 2020-11-20 05:39 PM	SP3	0.024	transcription regulator	0	0.577	bias	0.258	0.13	0.000253	AKAP12, Ccl2, FAS, GHR, KLF1, KLF4, MYLK, PTDSS1, SLC2A3, SREBF1, TERT, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	TAZ	-0.11	enzyme	0	1.993	0	0.161	1.49	0.000253	ALDOC, COL5A2, COX7A1, DUSP1, HMOX1, KLF6, LDLR, NOS2, PKM, SAMD4A, TPI1, UGDH
ndr_vs_wt_all - 2020-11-20 05:39 PM	Il3	0	cytokine	0	-0.033	0	0.027	-0.098	0.000254	CD14, CD68, CSF3R, ELANE, FOS, IGF1, ITGAM, LCN2, LTF, Ly6a (includes others), LYZ, MPO, PIM1, PRTN3, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	TGFB1	0.181	growth factor	0	-1.97	0	-0.046	-1.794	0.000263	ACE, AREG, CASP4, Ccl2, CD86, CDKN2B, CXCL10, CYP17A1, FAS, GFAP, ICAM1, IL1B, ITGA6, ITGAM, ITGB2, Ly6a (includes others), MMP2, NOS2, PDGFA, SOCS3
ndr_vs_wt_all - 2020-11-20 05:39 PM	GNB1	0.061	enzyme	0	0	0	0	0	3e-04	AHR, CCL3L3, CD83, CXCL3, DUSP1, FOSB, IER3, IL1B, IL1R2, NR4A1, TSC22D3
ndr_vs_wt_all - 2020-11-20 05:39 PM	GNB2	0.059	enzyme	0	0	0	0	0	3e-04	AHR, CCL3L3, CD83, CXCL3, DUSP1, FOSB, IER3, IL1B, IL1R2, NR4A1, TSC22D3
ndr_vs_wt_all - 2020-11-20 05:39 PM	REL	-0.074	transcription regulator	0	-0.569	0	0.243	-1.612	0.000306	ACSL4, AHR, ARFGAP3, ATXN1, BACH2, BCL3, COTL1, CXCL10, DNAH1, EGR2, ESR1, FAS, FBXL4, FOXO3, GPT2, ICAM1, INSC, IRF6, MAP3K8, NFE2, NFKB2, NOS2, NR4A1, PIPOX, RELB, RORC, RSAD2, SLC22A15, SLC35A3, SNAI2, STAT5B, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	CYP1A1	-0.26	enzyme	0	1.732	0	0	1.732	0.000306	ANXA7, CHRNA4, CYP17A1, CYP2B6, GAMT, Gstm3, Ifi27l2a/Ifi27l2b, IFNLR1, IGF1, IGFBP2, INSC, LMNA, MAPT, MARCO, Mt1, PRPH, RGS16, SDC1, SLC46A3, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Hbb-b1	0	transporter	0	1.606	0	0.204	0.727	0.000306	Ccl2, Ccl7, CCR2, CLEC7A, CXCL10, CXCR2, CXCR6, CYBA, CYBB, FTL, ICAM1, IL1B, ITGAM, MASP2, Mbl1, Mt1, NCF2, PRLR, SPI1, TLR2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ADGRF5	-0.315	g-protein coupled receptor	0	-1.387	bias	-0.258	-0.814	0.000309	Ccl2, CCL3L3, CXCL3, IL1RN, MMP2
ndr_vs_wt_all - 2020-11-20 05:39 PM	FEM1A	-0.02	transcription regulator	Inhibited	-2.2	bias	-0.258	-1.632	0.000309	Ccl2, CD68, CXCL10, CXCL2, IL1B
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLC4A1	1.828	transporter	0	-0.739	0	0	-0.739	0.000309	FCER1G, FCGR1A, FCGR2A, Gypa, RHAG
ndr_vs_wt_all - 2020-11-20 05:39 PM	HIPK2	-0.06	kinase	Activated	2.673	0	0.127	2.198	0.00031	ALOX5AP, ANK1, CIDEA, EGR1, EPOR, GATA1, GCLC, GSTM5, Gypa, KLF1, RAC2, SLC25A37, SLC4A1, SPTB, TMEM26
ndr_vs_wt_all - 2020-11-20 05:39 PM	STAT4	0.824	transcription regulator	Activated	2.778	0	0.232	2.027	0.00031	BCL3, Ctla2a/Ctla2b, CXCL10, CXCL2, CXCL3, GCNT2, IL18R1, IL18RAP, ISG20, MAP3K8, Ms4a4c (includes others), PLAC8, SELE, SELPLG, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CAV1	0.162	transmembrane receptor	0	1.467	0	0.04	1.379	0.00031	ADAMTS4, ADGRG2, AFP, CLDN7, CTSD, EMILIN1, ESR1, GIPC2, ICAM1, KRT18, KRT8, NR4A1, PRLR, PROM1, SERPINE1, SLC20A1, SLC2A3, SLC7A2, SPRR1A, ST6GALNAC4, WFDC2
ndr_vs_wt_all - 2020-11-20 05:39 PM	HDAC3	-0.021	transcription regulator	0	0	0	0	0	0.000324	ACACB, CXCL2, ELOVL5, ELOVL6, FASN, FITM1, G6PD, ICAM1, MMP12, NFKBIA, RARB, RELB
ndr_vs_wt_all - 2020-11-20 05:39 PM	Gm12602	0	other	Inhibited	-2.619	bias	-0.258	-1.942	0.000325	BTG2, CGREF1, DHRS9, DUSP5, RGS16, Stfa2/Stfa2l1, Tpm1
ndr_vs_wt_all - 2020-11-20 05:39 PM	HOXA3	0.061	transcription regulator	Inhibited	-3.073	0	-0.065	-2.842	0.000331	ALOX5, ANXA2, CCL3L3, CEBPB, DAPP1, GATA1, GFI1B, NFE2, PLEK, PRTN3, PSTPIP1, RAC2, SPI1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ZC3H12C	0.002	other	0	-1.043	bias	-0.258	-0.235	0.000345	CCR2, CLEC4E, FPR2, GBP6, Gm4951, Igtp, Ly6a (includes others), MPEG1, NOS2, PLA2G7
ndr_vs_wt_all - 2020-11-20 05:39 PM	ABCC1	0.526	transporter	Activated	2	bias	0.258	1.484	0.000349	CYBA, CYBB, NCF1, NCF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	ACACA	0.32	enzyme	0	-1.98	bias	-0.258	-1.469	0.000349	ACACB, ACLY, ELOVL6, FASN
ndr_vs_wt_all - 2020-11-20 05:39 PM	FANCD2	-0.002	other	0	-1	bias	0.258	-1.516	0.000349	ABCG5, LDLR, SCP2, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IgG	0	complex	Activated	2	bias	0.258	1.484	0.000349	Ccl2, CD86, FCGR1A, FCGR2A
ndr_vs_wt_all - 2020-11-20 05:39 PM	PSMB9	-0.185	peptidase	0	0	0	-0.052	0.103	0.000349	NFKB2, NFKBIA, RELB, TNFAIP3
ndr_vs_wt_all - 2020-11-20 05:39 PM	GATA1	1.705	transcription regulator	0	1.59	0	0.199	0.757	0.000354	BACH2, CREG1, DMTN, EGR1, EPB42, EPOR, FOSB, GATA1, GP1BB, HDAC11, HPSE, HSF2, ITGA6, JDP2, KLF1, MRTFA, NFE2, PIM1, PLEK, SLC4A1, SPOCK2, STAT4, STAT5A, TAL1, Tpm1, ZBTB42
ndr_vs_wt_all - 2020-11-20 05:39 PM	RARB	-1.134	ligand-dependent nuclear receptor	0	-0.75	0	0.067	-1.046	0.000357	APOA4, ASCL1, CARD9, CASP4, CXCL12, CYP26B1, GBP6, HP, Igtp, INSL3, Irgm1, KLF4, LTF, LYZ, PLS1, RARB, SAA1, Saa3, SALL4, SERPINA1, SLC16A2
ndr_vs_wt_all - 2020-11-20 05:39 PM	CCL11	0	cytokine	Activated	2.395	bias	0.258	1.777	0.000368	CCL3L3, CXCL3, GFAP, IL1B, ITGAM, NOS2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MBTPS1	-0.111	peptidase	0	1.408	bias	0.258	0.78	0.000368	FASN, FDFT1, FDPS, HMGCR, LDLR, SREBF1
ndr_vs_wt_all - 2020-11-20 05:39 PM	IFNGR1	0.252	transmembrane receptor	0	0.896	0	0.134	0.571	0.000391	Ccl2, CCL20, CCL3L3, CXCL10, CXCL12, CXCL3, FAS, ICAM1, IL1B, MMP2, TNFRSF1A
ndr_vs_wt_all - 2020-11-20 05:39 PM	PRKAA1	-0.007	kinase	0	-1.809	0	-0.163	-1.123	0.000395	ARHGDIB, ATF3, CAT, CXCL12, CYP2B6, FOXO3, GRIA3, ITIH5, KCNA2, Ly6a (includes others), MYLK, NFKBIA, NOS2, PARP3, SOCS3, SORL1, TTYH1, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	TRAF3	-0.006	enzyme	Inhibited	-3.053	0	-0.163	-2.477	0.000399	ADM, CARMIL1, CCL20, CCR1, CXCL10, CXCL2, CXCL3, EGFR, ICAM1, LILRB4, MPEG1, RHBDF1, Serpina3g (includes others), TK1
ndr_vs_wt_all - 2020-11-20 05:39 PM	ACKR2	0.13	g-protein coupled receptor	Inhibited	-3.422	0	-0.234	-2.622	0.000412	ACOD1, CCL3L3, CCR2, CXCL10, IFI16, Ifi27l2a/Ifi27l2b, Ifitm1, Ifitm6, IL1B, ISG20, OASL, RSAD2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MIF	0.581	cytokine	0	1.027	0	0.145	0.475	0.000415	Ccl2, CCR1, CXCL2, CXCL3, CXCR6, DGAT2, DUSP1, FASN, ICAM1, IL15RA, IL1B, JUN, MMP2, NOS2, SREBF1, TIMP1
ndr_vs_wt_all - 2020-11-20 05:39 PM	Jnk	0	group	Activated	3.555	0	0.092	3.228	0.000453	BAX, CXCL3, DUSP1, EGR1, FABP4, FOS, IL1B, JUN, JUND, KLF6, MMP2, NOS2, SNAI2, SOCS3, TNFRSF12A
ndr_vs_wt_all - 2020-11-20 05:39 PM	Tlr	0	group	Activated	2.359	0	0.215	1.722	0.00046	CASP4, Ccl2, CD86, CXCL3, DUSP1, FPR2, HBEGF, HLA-A, IL1B, NFKBIA
ndr_vs_wt_all - 2020-11-20 05:39 PM	Gcg	0	other	0	0	0	0.101	-0.38	0.000486	APOA4, AS3MT, CSRP3, CYP17A1, Cyp2g1, ITIH5, MMD2, NCALD, NNMT, RARRES1, RNASE4, SDC1, SLC7A2, SULF2
ndr_vs_wt_all - 2020-11-20 05:39 PM	MEX3A	0.022	other	0	0.905	0	-0.027	0.995	0.000505	ABCA1, ABCG5, ABCG8, ACOX2, ANGPTL4, AQP7, CIDEC, LYZ, OLFM4, PDK4, PPARA
ndr_vs_wt_all - 2020-11-20 05:39 PM	PLIN5	0.11	other	0	0	0	-0.014	0.045	0.000505	CPT1B, FASN, GCLC, GPX4, HMOX1, MAFK, PDK4, PNPLA2, PPARA, SREBF1, TXNRD1
ndr_vs_wt_all - 2020-11-20 05:39 PM	AGPAT2	-0.103	enzyme	0	-0.478	0	-0.015	-0.438	0.000509	ACSL1, CEBPB, ELOVL6, FABP4, FASN, PLD3, SLC2A4
ndr_vs_wt_all - 2020-11-20 05:39 PM	LMNA	0.591	other	0	1.133	0	0.037	1.052	0.000509	AFP, ALPL, DES, ENTPD1, FOXA2, LMNA, TUBB3
ndr_vs_wt_all - 2020-11-20 05:39 PM	NBEAL2	0.038	other	0	-1.195	0	-0.137	-0.836	0.000509	CCL3L3, Ccl7, CXCL10, CXCL2, CXCL3, SELP, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	PTPN11	0	phosphatase	0	1.329	0	0.037	1.198	0.00051	ACSL4, CD14, CD68, CSF3R, ELANE, FASN, LTF, MMP12, MMP19, MPO, OLFM4, PERP, PRTN3
ndr_vs_wt_all - 2020-11-20 05:39 PM	STAT5a/b	0	group	0	-1.265	0	-0.074	-1.032	0.00051	CAVIN2, CDC25A, CDC42EP5, CLU, DUSP1, F2RL2, IGF1, IGFALS, ITGA2B, PIM1, SLC35D3, SOCS3, VWF
ndr_vs_wt_all - 2020-11-20 05:39 PM	ARRB2	0.51	other	0	-1.698	0	-0.026	-1.635	0.000518	Ccl2, CCR2, CXCL2, CXCL3, EGR1, IL1B, JUNB, NFKBIZ, SERPINE1
